Date,"('Open', 'KLBF.JK')","('High', 'KLBF.JK')","('Low', 'KLBF.JK')","('Close', 'KLBF.JK')","('Volume', 'KLBF.JK')",Next_Day_Close
2021-09-17,1356.2624191810344,1375.0993972252154,1351.5531746699892,1365.680908203125,30924100,1346.8438720703125
2021-09-20,1365.680849302065,1375.0993379179415,1342.1346277623743,1346.8438720703125,9378600,1323.2977294921875
2021-09-21,1342.1347078479482,1365.680930792649,1323.2977294921875,1323.2977294921875,14673100,1337.4254150390625
2021-09-22,1337.4254150390625,1351.5531482965175,1328.0069262007594,1337.4254150390625,12157700,1313.8792724609375
2021-09-23,1328.0070065734208,1356.262474798387,1313.8792724609375,1313.8792724609375,21547200,1318.5885009765625
2021-09-24,1342.1347242082868,1342.1347242082868,1304.4607670375278,1318.5885009765625,19823600,1318.5885009765625
2021-09-27,1328.0069902692524,1328.0069902692524,1309.1700116838729,1318.5885009765625,10494500,1299.75146484375
2021-09-28,1332.7161759086277,1332.7161759086277,1299.75146484375,1299.75146484375,10162000,1328.0069580078125
2021-09-29,1290.3330017522717,1328.0069580078125,1285.623757220329,1328.0069580078125,24028200,1346.8438720703125
2021-09-30,1328.00689483856,1346.8438720703125,1318.5884062226837,1346.8438720703125,23730600,1318.5885009765625
2021-10-01,1346.8439688546316,1346.8439688546316,1299.751522391183,1318.5885009765625,21204400,1299.75146484375
2021-10-04,1318.5884425951087,1323.2976870329485,1295.0422204059105,1299.75146484375,24057600,1290.3330078125
2021-10-05,1299.7514969206204,1309.1699860287408,1290.3330078125,1290.3330078125,15698000,1290.3330078125
2021-10-06,1290.3330078125,1328.0069642449819,1285.6237632584398,1290.3330078125,30270100,1290.3330078125
2021-10-07,1290.3330078125,1332.716208799042,1290.3330078125,1290.3330078125,37530500,1299.75146484375
2021-10-08,1295.0422204059105,1323.2976870329485,1290.3329759680707,1299.75146484375,24962100,1280.9144287109375
2021-10-11,1299.7514056037453,1304.4606498269472,1280.9144287109375,1280.9144287109375,20811400,1290.3330078125
2021-10-12,1280.9145187043796,1299.7514969206204,1276.2052741503194,1290.3330078125,26638500,1304.4608154296875
2021-10-13,1295.042325787596,1304.4608154296875,1280.9145913244586,1304.4608154296875,29785100,1351.55322265625
2021-10-14,1309.170020552047,1356.2624673344947,1299.7515311955574,1351.55322265625,65304500,1360.9716796875
2021-10-15,1365.6809242538927,1370.3901688202855,1332.7162122891436,1360.9716796875,45210300,1356.2623291015625
2021-10-18,1365.6808174981013,1370.3900616963706,1342.1345965067546,1356.2623291015625,25759700,1365.680908203125
2021-10-19,1356.2624191810344,1365.680908203125,1337.4254411368534,1365.680908203125,16828400,1403.3548583984375
2021-10-21,1375.0993914508178,1403.3548583984375,1365.680902468278,1403.3548583984375,52190200,1370.39013671875
2021-10-22,1403.3548479112974,1403.3548479112974,1351.5531588944373,1370.39013671875,34304000,1379.8087158203125
2021-10-25,1370.3902262925287,1393.936450111988,1356.2624920008532,1379.8087158203125,23810800,1450.447265625
2021-10-26,1393.936333198052,1511.6674424208604,1393.936333198052,1450.447265625,166793500,1506.958251953125
2021-10-27,1450.447317504883,1511.6674964904785,1422.1918502807619,1506.958251953125,164887800,1497.539794921875
2021-10-28,1516.3767734743515,1516.3767734743515,1488.1213056456368,1497.539794921875,102437000,1506.958251953125
2021-10-29,1506.958251953125,1511.6674964904785,1497.539762878418,1506.958251953125,155669800,1497.539794921875
2021-11-01,1506.9582841981132,1511.6675288362323,1497.539794921875,1497.539794921875,63028700,1525.795166015625
2021-11-02,1497.5396999782986,1535.2136546947338,1473.9934782805267,1525.795166015625,125599400,1539.9228515625
2021-11-03,1535.2136073681193,1544.6320957568807,1521.085874784977,1539.9228515625,139441900,1535.2137451171875
2021-11-04,1544.6322343510353,1544.6322343510353,1516.376766649492,1535.2137451171875,147923700,1535.2137451171875
2021-11-05,1530.5045005002637,1554.0507235848831,1521.0860112664159,1535.2137451171875,120743600,1525.795166015625
2021-11-08,1535.2136546947338,1539.922899034288,1516.3766773365162,1525.795166015625,140655600,1525.795166015625
2021-11-09,1539.922899034288,1539.922899034288,1497.5396999782986,1525.795166015625,50026200,1530.50439453125
2021-11-10,1525.7951502403846,1530.50439453125,1511.6674173677884,1530.50439453125,55784500,1497.539794921875
2021-11-11,1530.5045073887088,1535.213752026828,1473.9935717312794,1497.539794921875,52529900,1516.376708984375
2021-11-12,1497.5397312330165,1521.0859534222147,1497.5397312330165,1516.376708984375,31257500,1502.2491455078125
2021-11-15,1516.3768804185443,1521.0861253887883,1478.7029206565928,1502.2491455078125,20170900,1525.795166015625
2021-11-16,1506.9581886574074,1525.795166015625,1483.4119669596355,1525.795166015625,56316100,1521.0860595703125
2021-11-17,1530.5045491032556,1530.5045491032556,1506.9583252708978,1521.0860595703125,23329400,1521.0860595703125
2021-11-18,1516.376814803841,1525.795304336784,1506.9583252708978,1521.0860595703125,28281300,1502.2491455078125
2021-11-19,1521.0861253887883,1525.7953703590322,1492.8306555673248,1502.2491455078125,22639000,1506.958251953125
2021-11-22,1502.2490074157715,1525.795230102539,1497.539762878418,1506.958251953125,41133000,1516.376708984375
2021-11-23,1506.9582201086957,1516.376708984375,1478.7027534816577,1516.376708984375,31824100,1516.376708984375
2021-11-24,1516.376708984375,1516.376708984375,1502.248975670856,1516.376708984375,36474100,1525.795166015625
2021-11-25,1516.3766773365162,1525.795166015625,1506.9581886574074,1525.795166015625,48835900,1497.539794921875
2021-11-26,1521.0860181124706,1521.0860181124706,1464.5750824550414,1497.539794921875,47932800,1511.66748046875
2021-11-29,1497.5397470064254,1516.3767249561915,1469.2842800817757,1511.66748046875,66271400,1506.958251953125
2021-11-30,1511.6674964904785,1516.3767410278322,1497.539762878418,1506.958251953125,162594600,1497.539794921875
2021-12-01,1511.6675288362323,1516.3767734743515,1483.4120610075177,1497.539794921875,44533500,1521.0860595703125
2021-12-02,1497.5398357379547,1539.9230386361987,1492.8305909714832,1521.0860595703125,56231800,1516.376708984375
2021-12-03,1521.0859534222147,1530.504442297894,1511.6674645465355,1516.376708984375,41788400,1488.121337890625
2021-12-06,1521.0860510717464,1521.0860510717464,1488.121337890625,1488.121337890625,31633400,1521.0860595703125
2021-12-07,1492.8305909714832,1521.0860595703125,1492.8305909714832,1521.0860595703125,24030800,1502.2491455078125
2021-12-08,1511.6676354483004,1511.6676354483004,1502.2491455078125,1502.2491455078125,26973800,1516.376708984375
2021-12-09,1502.248975670856,1521.0859534222147,1497.5397312330165,1516.376708984375,42152900,1516.376708984375
2021-12-10,1516.376708984375,1521.0859534222147,1502.248975670856,1516.376708984375,21711000,1511.66748046875
2021-12-13,1521.0859694436333,1521.0859694436333,1492.8305025189836,1511.66748046875,30298500,1516.376708984375
2021-12-14,1516.376708984375,1521.0859534222147,1506.9582201086957,1516.376708984375,44663200,1521.0860595703125
2021-12-15,1516.376814803841,1525.795304336784,1511.6675700373694,1521.0860595703125,32761400,1530.50439453125
2021-12-16,1525.7951502403846,1535.2136388221154,1516.3766616586538,1530.50439453125,99342000,1516.376708984375
2021-12-17,1535.2136867357337,1535.2136867357337,1502.248975670856,1516.376708984375,41416100,1521.0860595703125
2021-12-20,1521.0860595703125,1535.2137938697272,1511.6675700373694,1521.0860595703125,33529500,1511.66748046875
2021-12-21,1521.0859694436333,1525.7952139310748,1511.66748046875,1511.66748046875,23899000,1478.7027587890625
2021-12-22,1511.6674699722582,1511.6674699722582,1455.1565365153513,1478.7027587890625,46200100,1497.539794921875
2021-12-23,1469.2843270931603,1511.6675288362323,1459.8658378169223,1497.539794921875,29951800,1483.412109375
2021-12-24,1497.53984375,1511.667578125,1478.7028645833334,1483.412109375,14266300,1516.376708984375
2021-12-27,1488.121242357337,1521.0859534222147,1483.4119979194973,1516.376708984375,14905100,1511.66748046875
2021-12-28,1516.3767249561915,1525.7952139310748,1511.66748046875,1511.66748046875,20479500,1521.0860595703125
2021-12-29,1521.0860595703125,1525.795304336784,1511.6675700373694,1521.0860595703125,13887200,1521.0860595703125
2021-12-30,1521.0860595703125,1530.5045491032556,1516.376814803841,1521.0860595703125,24016700,1525.795166015625
2022-01-03,1521.0859216760707,1530.5044103551793,1511.667432996962,1525.795166015625,25774000,1525.795166015625
2022-01-04,1525.795166015625,1530.5044103551793,1516.3766773365162,1525.795166015625,24471900,1530.50439453125
2022-01-05,1521.0859059495192,1530.50439453125,1502.2489287860578,1530.50439453125,47707800,1525.795166015625
2022-01-06,1525.795166015625,1535.2136546947338,1506.9581886574074,1525.795166015625,27428300,1558.7598876953125
2022-01-07,1525.7951770793995,1587.0153539375235,1521.0859327056976,1558.7598876953125,87215800,1596.4339599609375
2022-01-10,1568.1784916430447,1629.398672998479,1568.1784916430447,1596.4339599609375,132840300,1577.596923828125
2022-01-11,1596.4339020230875,1596.4339020230875,1554.0507010844217,1577.596923828125,44595500,1601.1431884765625
2022-01-12,1577.596965116613,1601.1431884765625,1563.4692311006434,1601.1431884765625,36149500,1601.1431884765625
2022-01-13,1601.1431884765625,1601.1431884765625,1572.887720444623,1601.1431884765625,28302700,1596.4339599609375
